[ 2024-03-12 08:48:08,217 ] 166 root - INFO - Initializing model building.
[ 2024-03-12 08:48:14,097 ] 29 root - INFO - Xtrain_resample shape: (10167006, 11)
[ 2024-03-12 08:48:14,098 ] 30 root - INFO - Ytrain_resample shape: (10167006, 1)
[ 2024-03-12 08:48:14,098 ] 72 root - INFO - Starting incremental hyperparameter tuning for XGBoost classifier with MLflow tracking.
[ 2024-03-12 08:48:14,225 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001040 seconds
[ 2024-03-12 08:48:14,225 ] 900 hyperopt.tpe - INFO - TPE using 0 trials
[ 2024-03-12 08:48:33,809 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001028 seconds
[ 2024-03-12 08:48:33,809 ] 900 hyperopt.tpe - INFO - TPE using 1/1 trials with best loss -0.998669
[ 2024-03-12 08:48:54,770 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001161 seconds
[ 2024-03-12 08:48:54,771 ] 900 hyperopt.tpe - INFO - TPE using 2/2 trials with best loss -0.999671
[ 2024-03-12 08:49:11,264 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001337 seconds
[ 2024-03-12 08:49:11,265 ] 900 hyperopt.tpe - INFO - TPE using 3/3 trials with best loss -0.999671
[ 2024-03-12 08:49:32,590 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001919 seconds
[ 2024-03-12 08:49:32,590 ] 900 hyperopt.tpe - INFO - TPE using 4/4 trials with best loss -0.999671
[ 2024-03-12 08:49:50,994 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001289 seconds
[ 2024-03-12 08:49:50,995 ] 900 hyperopt.tpe - INFO - TPE using 5/5 trials with best loss -0.999671
[ 2024-03-12 08:50:13,648 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001312 seconds
[ 2024-03-12 08:50:13,649 ] 900 hyperopt.tpe - INFO - TPE using 6/6 trials with best loss -0.999673
[ 2024-03-12 08:50:30,871 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001282 seconds
[ 2024-03-12 08:50:30,873 ] 900 hyperopt.tpe - INFO - TPE using 7/7 trials with best loss -0.999673
[ 2024-03-12 08:50:47,509 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001498 seconds
[ 2024-03-12 08:50:47,510 ] 900 hyperopt.tpe - INFO - TPE using 8/8 trials with best loss -0.999673
[ 2024-03-12 08:51:04,612 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001426 seconds
[ 2024-03-12 08:51:04,613 ] 900 hyperopt.tpe - INFO - TPE using 9/9 trials with best loss -0.999673
[ 2024-03-12 08:51:21,777 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001531 seconds
[ 2024-03-12 08:51:21,778 ] 900 hyperopt.tpe - INFO - TPE using 10/10 trials with best loss -0.999673
[ 2024-03-12 08:51:41,179 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001485 seconds
[ 2024-03-12 08:51:41,181 ] 900 hyperopt.tpe - INFO - TPE using 11/11 trials with best loss -0.999673
[ 2024-03-12 08:52:03,103 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001739 seconds
[ 2024-03-12 08:52:03,103 ] 900 hyperopt.tpe - INFO - TPE using 12/12 trials with best loss -0.999673
[ 2024-03-12 08:52:21,580 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001385 seconds
[ 2024-03-12 08:52:21,580 ] 900 hyperopt.tpe - INFO - TPE using 13/13 trials with best loss -0.999673
[ 2024-03-12 08:52:43,133 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001436 seconds
[ 2024-03-12 08:52:43,134 ] 900 hyperopt.tpe - INFO - TPE using 14/14 trials with best loss -0.999673
[ 2024-03-12 08:53:01,882 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001386 seconds
[ 2024-03-12 08:53:01,883 ] 900 hyperopt.tpe - INFO - TPE using 15/15 trials with best loss -0.999673
