[ 2024-03-12 09:43:04,472 ] 169 root - INFO - Initializing model building.
[ 2024-03-12 09:43:10,423 ] 32 root - INFO - Xtrain_resample shape: (10167006, 11)
[ 2024-03-12 09:43:10,424 ] 33 root - INFO - Ytrain_resample shape: (10167006, 1)
[ 2024-03-12 09:43:10,424 ] 75 root - INFO - Starting incremental hyperparameter tuning for XGBoost classifier with MLflow tracking.
[ 2024-03-12 09:43:10,520 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.000962 seconds
[ 2024-03-12 09:43:10,520 ] 900 hyperopt.tpe - INFO - TPE using 0 trials
[ 2024-03-12 09:43:26,278 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.000973 seconds
[ 2024-03-12 09:43:26,279 ] 900 hyperopt.tpe - INFO - TPE using 1/1 trials with best loss -0.982185
[ 2024-03-12 09:43:49,731 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.000935 seconds
[ 2024-03-12 09:43:49,731 ] 900 hyperopt.tpe - INFO - TPE using 2/2 trials with best loss -0.998918
[ 2024-03-12 09:44:07,416 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001066 seconds
[ 2024-03-12 09:44:07,417 ] 900 hyperopt.tpe - INFO - TPE using 3/3 trials with best loss -0.998918
[ 2024-03-12 09:44:23,717 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001953 seconds
[ 2024-03-12 09:44:23,717 ] 900 hyperopt.tpe - INFO - TPE using 4/4 trials with best loss -0.998918
[ 2024-03-12 09:44:43,123 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001510 seconds
[ 2024-03-12 09:44:43,124 ] 900 hyperopt.tpe - INFO - TPE using 5/5 trials with best loss -0.998918
[ 2024-03-12 09:45:08,587 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001571 seconds
[ 2024-03-12 09:45:08,587 ] 900 hyperopt.tpe - INFO - TPE using 6/6 trials with best loss -0.999653
[ 2024-03-12 09:45:26,604 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001492 seconds
[ 2024-03-12 09:45:26,605 ] 900 hyperopt.tpe - INFO - TPE using 7/7 trials with best loss -0.999653
[ 2024-03-12 09:45:44,993 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001523 seconds
[ 2024-03-12 09:45:44,993 ] 900 hyperopt.tpe - INFO - TPE using 8/8 trials with best loss -0.999653
[ 2024-03-12 09:46:06,361 ] 864 hyperopt.tpe - INFO - build_posterior_wrapper took 0.001506 seconds
